ticket_id,event_id,user_id,seat_number,price,status,updated_at
TKT-70-B5-B802A6,70,42,B5,15.00,CANCELLED,2026-08-20 01:41:08
TKT-70-B5-BAA73C,70,88,B5,15.00,ACTIVE,2026-08-20 01:41:08
TKT-56-C10-BEDE31,56,39,C10,15.00,ACTIVE,2026-08-20 01:41:08
TKT-53-G12-65C215,53,50,G12,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A20-75C3DF,91,119,A20,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A3-5F65A1,91,102,A3,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A4-5C9643,91,103,A4,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A2-76CEAE,91,101,A2,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A5-DE4755,91,104,A5,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A9-122078,91,108,A9,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A10-0286D1,91,109,A10,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A1-5BA1E8,91,100,A1,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A11-D34B04,91,110,A11,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A6-AC7A3C,91,105,A6,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A8-9BBD0B,91,107,A8,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A7-9F5DB2,91,106,A7,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A12-0C55E4,91,111,A12,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A15-DA06A7,91,114,A15,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A13-1B4F13,91,112,A13,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A16-E23BAD,91,115,A16,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A17-92920D,91,116,A17,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A14-95E565,91,113,A14,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A19-C0400B,91,118,A19,15.00,ACTIVE,2026-08-20 01:46:10
TKT-91-A18-4A0F02,91,117,A18,15.00,ACTIVE,2026-08-20 01:46:10
TKT-70-B5-D481F1,70,42,B5,15.00,ACTIVE,2026-08-20 01:46:10
TKT-70-B5-D481F1,70,42,B5,15.00,CANCELLED,2026-08-20 01:46:10
TKT-70-B5-C94AEF,70,88,B5,15.00,ACTIVE,2026-08-20 01:46:10
TKT-56-C10-29CB04,56,39,C10,15.00,ACTIVE,2026-08-20 01:46:10
TKT-53-C5-223EF8,53,1,C5,15.00,ACTIVE,2026-08-20 01:53:00
TKT-53-C5-223EF8,53,1,C5,15.00,CANCELLED,2026-08-20 01:53:18
TKT-53-C5-7B3BB2,53,1,C5,15.00,ACTIVE,2026-08-20 01:54:51
TKT-53-C5-7B3BB2,53,1,C5,15.00,CANCELLED,2026-08-20 01:55:27
