ticket_id,session_id,guest_id,seat_number,ticket_price
120,7,72,B3,18.5
121,14,83,D4,18.5
122,142,30,D15,18.5
123,11,27,H3,12.5
124,113,32,G7,15.0
125,34,47,H15,18.5
126,117,20,G10,18.5
127,78,63,G17,15.0
128,94,92,F7,18.5
129,87,85,E17,15.0
130,83,4,K17,12.5
131,27,60,H12,15.0
132,64,69,A11,12.5
133,99,97,K20,12.5
134,19,79,E8,15.0
135,99,96,B18,12.5
136,30,41,J3,15.0
137,111,97,E10,18.5
138,27,84,B17,15.0
139,68,53,C20,15.0
140,116,19,B6,15.0
141,41,100,D13,15.0
142,148,13,D14,18.5
143,124,82,A19,12.5
144,83,22,H11,12.5
145,61,64,J8,15.0
146,65,60,F10,12.5
147,41,42,B15,12.5
148,133,64,G1,12.5
149,83,14,A5,18.5
150,16,48,J12,12.5
151,93,36,D3,18.5
152,142,3,C16,12.5
153,44,70,G6,18.5
154,134,53,D4,18.5
155,1,78,B10,12.5
156,55,16,F5,18.5
157,102,27,B7,18.5
158,112,11,C14,12.5
159,122,40,F17,18.5
160,48,5,G17,15.0
161,102,8,B1,18.5
162,4,99,G13,15.0
163,123,15,D19,18.5
164,43,88,H19,15.0
165,115,18,B11,15.0
166,81,55,C19,15.0
167,123,46,J4,18.5
168,6,43,B12,15.0
169,5,95,B6,15.0
170,136,21,H11,15.0
171,88,49,K1,15.0
172,5,66,K12,12.5
173,17,3,B20,18.5
174,109,79,H3,18.5
175,34,54,C3,18.5
176,3,73,F11,15.0
177,135,37,C19,18.5
178,2,72,D19,18.5
179,105,5,K17,12.5
180,18,65,H2,18.5
181,106,50,H16,12.5
182,141,52,A10,15.0
183,61,43,J5,15.0
184,137,51,C11,18.5
185,13,92,G1,18.5
186,69,22,B3,18.5
187,75,36,A15,15.0
188,56,27,D5,15.0
189,133,2,D8,12.5
190,96,92,J1,18.5
191,56,2,G19,18.5
192,141,2,D17,15.0
193,116,58,H17,18.5
194,90,22,B9,15.0
195,125,91,E19,15.0
196,26,89,K17,15.0
197,98,9,J5,15.0
198,131,97,E14,15.0
199,6,65,J8,12.5
200,100,53,E12,12.5
201,96,59,K3,18.5
202,45,56,G2,15.0
203,91,35,F10,12.5
204,32,5,J11,15.0
205,11,51,D3,18.5
206,144,71,K14,18.5
207,62,80,J4,15.0
208,3,64,K6,18.5
209,134,27,B9,12.5
210,45,7,J1,18.5
211,17,29,D16,12.5
212,71,22,A8,15.0
213,115,5,B12,15.0
214,73,30,F19,12.5
215,95,60,C16,15.0
216,25,52,B6,12.5
217,136,16,K4,18.5
218,87,86,G7,12.5
219,25,50,E8,12.5
220,41,61,A4,12.5
221,146,12,J15,18.5
222,140,57,B14,12.5
223,65,67,A12,15.0
224,147,28,F18,18.5
225,78,9,E11,12.5
226,85,68,C19,12.5
227,124,87,F14,15.0
228,109,19,C9,12.5
229,12,21,A18,15.0
230,65,83,K7,12.5
231,104,64,H8,12.5
232,95,33,B16,18.5
233,72,21,A11,18.5
234,126,53,C2,18.5
235,48,10,K14,18.5
236,118,23,K10,15.0
237,42,40,K20,15.0
238,69,77,J1,15.0
239,67,22,A12,15.0
240,6,74,J4,15.0
241,116,22,H17,18.5
242,81,13,K6,15.0
243,56,95,K5,15.0
244,71,22,H1,12.5
245,22,91,D16,15.0
246,83,71,F10,18.5
247,57,92,E4,15.0
248,47,69,E11,15.0
249,82,32,K9,18.5
250,134,49,G9,12.5
