event_id,movie_title,hall_name,screen_time,booked_seats,available_seats,total_capacity,occupancy_percentage
40,Coco,Hall 4 (VIP),2026-06-03 19:30:00,0,48,48,0.0
81,The Exorcist,IMAX Theatre,2026-06-03 20:00:00,2,40,42,4.76
13,Wreck-It Ralph,Hall 1 (Dolby Atmos),2026-06-03 20:30:00,2,68,70,2.86
131,E.T. the Extra-Terrestrial,Hall 2,2026-06-04 11:00:00,2,43,45,4.44
43,The Exorcist,Hall 1 (Dolby Atmos),2026-06-04 11:30:00,3,140,143,2.1
130,The Lord of the Rings: The Return of the King,Hall 2,2026-06-04 13:00:00,0,11,11,0.0
49,The Lord of the Rings: The Two Towers,Hall 2,2026-06-04 13:00:00,1,91,92,1.09
123,Inception,Hall 3,2026-06-04 13:00:00,2,37,39,5.13
80,Interstellar,Hall 3,2026-06-04 13:00:00,1,17,18,5.56
108,Iron Man,Hall 1 (Dolby Atmos),2026-06-04 13:30:00,0,5,5,0.0
147,Deadpool,Hall 3,2026-06-04 14:00:00,3,131,134,2.24
86,Tangled,Hall 4 (VIP),2026-06-04 14:30:00,3,104,107,2.8
67,The Lord of the Rings: The Two Towers,Hall 3,2026-06-04 14:30:00,1,88,89,1.12
6,Home Alone,Hall 2,2026-06-04 14:30:00,4,71,75,5.33
110,Pirates of the Caribbean: The Curse of the Black Pearl,Hall 2,2026-06-04 16:00:00,1,33,34,2.94
64,Iron Man,Hall 1 (Dolby Atmos),2026-06-04 17:00:00,3,140,143,2.1
38,Batman Begins,Hall 2,2026-06-04 17:00:00,1,81,82,1.22
44,Shrek,Hall 2,2026-06-04 17:30:00,1,74,75,1.33
21,Sherlock Holmes,Hall 2,2026-06-04 17:30:00,1,119,120,0.83
60,Harry Potter and the Prisoner of Azkaban,Hall 2,2026-06-04 19:30:00,0,85,85,0.0
75,Inception,Hall 1 (Dolby Atmos),2026-06-04 20:00:00,2,88,90,2.22
4,Terminator 2: Judgment Day,Hall 3,2026-06-04 22:00:00,3,131,134,2.24
36,The Sixth Sense,Hall 3,2026-06-05 14:30:00,2,119,121,1.65
25,The Hangover,Hall 1 (Dolby Atmos),2026-06-05 14:30:00,3,31,34,8.82
122,Star Wars: Episode VII - The Force Awakens,IMAX Theatre,2026-06-05 17:00:00,1,24,25,4.0
109,The Exorcist,Hall 2,2026-06-05 19:00:00,3,5,8,37.5
111,Pirates of the Caribbean: The Curse of the Black Pearl,Hall 1 (Dolby Atmos),2026-06-05 19:00:00,3,127,130,2.31
142,Gladiator,Hall 3,2026-06-05 19:00:00,3,145,148,2.03
93,Dances with Wolves,Hall 2,2026-06-05 19:30:00,1,70,71,1.41
51,Toy Story 2,Hall 4 (VIP),2026-06-06 11:00:00,2,69,71,2.82
102,Jurassic Park,Hall 4 (VIP),2026-06-06 11:30:00,2,15,17,11.76
125,The Fugitive,Hall 3,2026-06-06 13:00:00,1,78,79,1.27
63,Ocean's Eleven,Hall 2,2026-06-06 13:00:00,2,86,88,2.27
78,Moana,Hall 2,2026-06-06 13:00:00,4,10,14,28.57
133,Toy Story,Hall 2,2026-06-06 13:30:00,3,90,93,3.23
82,Moana,Hall 4 (VIP),2026-06-06 14:00:00,1,144,145,0.69
55,Captain America: Civil War,Hall 3,2026-06-06 14:30:00,1,102,103,0.97
134,Tangled,IMAX Theatre,2026-06-06 16:00:00,4,43,47,8.51
61,Inside Out,Hall 3,2026-06-06 19:00:00,2,5,7,28.57
114,Dawn of the Planet of the Apes,Hall 1 (Dolby Atmos),2026-06-06 19:00:00,0,75,75,0.0
146,Pirates of the Caribbean: The Curse of the Black Pearl,Hall 1 (Dolby Atmos),2026-06-06 19:00:00,2,9,11,18.18
8,A Star Is Born,IMAX Theatre,2026-06-06 19:30:00,1,2,3,33.33
140,Toy Story 3,IMAX Theatre,2026-06-06 19:30:00,1,70,71,1.41
94,The Hobbit: An Unexpected Journey,Hall 4 (VIP),2026-06-06 22:30:00,2,54,56,3.57
71,Titanic,IMAX Theatre,2026-06-07 11:00:00,2,147,149,1.34
35,Inception,IMAX Theatre,2026-06-07 14:30:00,1,28,29,3.45
106,Coco,Hall 3,2026-06-07 16:30:00,1,139,140,0.71
113,Shrek,Hall 2,2026-06-07 17:00:00,1,94,95,1.05
59,Beauty and the Beast,Hall 2,2026-06-07 19:00:00,1,62,63,1.59
27,Captain America: Civil War,Hall 1 (Dolby Atmos),2026-06-07 19:30:00,2,33,35,5.71
39,Cast Away,IMAX Theatre,2026-06-07 19:30:00,0,77,77,0.0
66,Star Wars: Episode VI - Return of the Jedi,IMAX Theatre,2026-06-07 22:00:00,1,143,144,0.69
11,Ocean's Eleven,IMAX Theatre,2026-06-08 11:00:00,2,38,40,5.0
16,Toy Story,Hall 1 (Dolby Atmos),2026-06-08 11:30:00,2,60,62,3.23
136,Star Wars: Episode V - The Empire Strikes Back,IMAX Theatre,2026-06-08 11:30:00,3,127,130,2.31
41,Ocean's Eleven,Hall 4 (VIP),2026-06-08 13:00:00,4,66,70,5.71
84,E.T. the Extra-Terrestrial,Hall 4 (VIP),2026-06-08 13:30:00,1,45,46,2.17
115,Logan,Hall 1 (Dolby Atmos),2026-06-08 14:00:00,4,132,136,2.94
118,X-Men: Days of Future Past,Hall 4 (VIP),2026-06-08 14:00:00,2,87,89,2.25
46,Harry Potter and the Half-Blood Prince,Hall 3,2026-06-08 14:30:00,0,89,89,0.0
14,Thor: Ragnarok,IMAX Theatre,2026-06-08 14:30:00,1,21,22,4.55
76,Beauty and the Beast,Hall 3,2026-06-08 16:00:00,0,141,141,0.0
132,The Hangover,IMAX Theatre,2026-06-08 16:00:00,2,122,124,1.61
117,Joker,Hall 2,2026-06-08 17:00:00,2,113,115,1.74
19,The Hobbit: The Desolation of Smaug,Hall 3,2026-06-08 19:00:00,1,84,85,1.18
1,Star Trek Into Darkness,IMAX Theatre,2026-06-08 19:30:00,1,72,73,1.37
95,Harry Potter and the Prisoner of Azkaban,Hall 1 (Dolby Atmos),2026-06-08 20:00:00,2,122,124,1.61
88,Gladiator,Hall 3,2026-06-08 20:30:00,2,55,57,3.51
9,The Lion King,IMAX Theatre,2026-06-09 11:00:00,1,54,55,1.82
138,How to Train Your Dragon,Hall 1 (Dolby Atmos),2026-06-09 13:00:00,1,137,138,0.72
127,The Lord of the Rings: The Two Towers,Hall 3,2026-06-09 14:00:00,1,105,106,0.94
15,Saving Private Ryan,Hall 1 (Dolby Atmos),2026-06-09 16:00:00,0,130,130,0.0
69,The Dark Knight Rises,Hall 1 (Dolby Atmos),2026-06-09 17:00:00,2,64,66,3.03
128,The Avengers,Hall 2,2026-06-09 17:30:00,2,88,90,2.22
45,The Lion King,IMAX Theatre,2026-06-09 19:00:00,3,23,26,11.54
23,Star Trek,IMAX Theatre,2026-06-09 19:30:00,1,26,27,3.7
57,Skyfall,Hall 1 (Dolby Atmos),2026-06-09 20:30:00,2,97,99,2.02
120,Dawn of the Planet of the Apes,Hall 1 (Dolby Atmos),2026-06-09 20:30:00,0,29,29,0.0
135,Back to the Future,IMAX Theatre,2026-06-09 22:30:00,1,25,26,3.85
