event_id,movie_title,screen_time,hall_name,available_seats,availability_status
130,The Lord of the Rings: The Return of the King,2026-06-04 13:00:00,Hall 2,11,LIMITED AVAILABILITY
49,The Lord of the Rings: The Two Towers,2026-06-04 13:00:00,Hall 2,91,AVAILABLE
123,Inception,2026-06-04 13:00:00,Hall 3,37,AVAILABLE
80,Interstellar,2026-06-04 13:00:00,Hall 3,17,AVAILABLE
108,Iron Man,2026-06-04 13:30:00,Hall 1 (Dolby Atmos),5,LIMITED AVAILABILITY
147,Deadpool,2026-06-04 14:00:00,Hall 3,131,AVAILABLE
86,Tangled,2026-06-04 14:30:00,Hall 4 (VIP),104,AVAILABLE
67,The Lord of the Rings: The Two Towers,2026-06-04 14:30:00,Hall 3,88,AVAILABLE
6,Home Alone,2026-06-04 14:30:00,Hall 2,71,AVAILABLE
110,Pirates of the Caribbean: The Curse of the Black Pearl,2026-06-04 16:00:00,Hall 2,33,AVAILABLE
64,Iron Man,2026-06-04 17:00:00,Hall 1 (Dolby Atmos),140,AVAILABLE
38,Batman Begins,2026-06-04 17:00:00,Hall 2,81,AVAILABLE
44,Shrek,2026-06-04 17:30:00,Hall 2,74,AVAILABLE
21,Sherlock Holmes,2026-06-04 17:30:00,Hall 2,119,AVAILABLE
60,Harry Potter and the Prisoner of Azkaban,2026-06-04 19:30:00,Hall 2,85,AVAILABLE
75,Inception,2026-06-04 20:00:00,Hall 1 (Dolby Atmos),88,AVAILABLE
4,Terminator 2: Judgment Day,2026-06-04 22:00:00,Hall 3,131,AVAILABLE
36,The Sixth Sense,2026-06-05 14:30:00,Hall 3,119,AVAILABLE
25,The Hangover,2026-06-05 14:30:00,Hall 1 (Dolby Atmos),31,AVAILABLE
122,Star Wars: Episode VII - The Force Awakens,2026-06-05 17:00:00,IMAX Theatre,24,AVAILABLE
109,The Exorcist,2026-06-05 19:00:00,Hall 2,5,LIMITED AVAILABILITY
111,Pirates of the Caribbean: The Curse of the Black Pearl,2026-06-05 19:00:00,Hall 1 (Dolby Atmos),127,AVAILABLE
142,Gladiator,2026-06-05 19:00:00,Hall 3,145,AVAILABLE
93,Dances with Wolves,2026-06-05 19:30:00,Hall 2,70,AVAILABLE
51,Toy Story 2,2026-06-06 11:00:00,Hall 4 (VIP),69,AVAILABLE
102,Jurassic Park,2026-06-06 11:30:00,Hall 4 (VIP),15,LIMITED AVAILABILITY
125,The Fugitive,2026-06-06 13:00:00,Hall 3,78,AVAILABLE
63,Ocean's Eleven,2026-06-06 13:00:00,Hall 2,86,AVAILABLE
78,Moana,2026-06-06 13:00:00,Hall 2,10,LIMITED AVAILABILITY
133,Toy Story,2026-06-06 13:30:00,Hall 2,90,AVAILABLE
82,Moana,2026-06-06 14:00:00,Hall 4 (VIP),144,AVAILABLE
55,Captain America: Civil War,2026-06-06 14:30:00,Hall 3,102,AVAILABLE
134,Tangled,2026-06-06 16:00:00,IMAX Theatre,43,AVAILABLE
61,Inside Out,2026-06-06 19:00:00,Hall 3,5,LIMITED AVAILABILITY
114,Dawn of the Planet of the Apes,2026-06-06 19:00:00,Hall 1 (Dolby Atmos),75,AVAILABLE
146,Pirates of the Caribbean: The Curse of the Black Pearl,2026-06-06 19:00:00,Hall 1 (Dolby Atmos),9,LIMITED AVAILABILITY
8,A Star Is Born,2026-06-06 19:30:00,IMAX Theatre,2,LIMITED AVAILABILITY
140,Toy Story 3,2026-06-06 19:30:00,IMAX Theatre,70,AVAILABLE
94,The Hobbit: An Unexpected Journey,2026-06-06 22:30:00,Hall 4 (VIP),54,AVAILABLE
71,Titanic,2026-06-07 11:00:00,IMAX Theatre,147,AVAILABLE
35,Inception,2026-06-07 14:30:00,IMAX Theatre,28,AVAILABLE
106,Coco,2026-06-07 16:30:00,Hall 3,139,AVAILABLE
113,Shrek,2026-06-07 17:00:00,Hall 2,94,AVAILABLE
59,Beauty and the Beast,2026-06-07 19:00:00,Hall 2,62,AVAILABLE
27,Captain America: Civil War,2026-06-07 19:30:00,Hall 1 (Dolby Atmos),33,AVAILABLE
39,Cast Away,2026-06-07 19:30:00,IMAX Theatre,77,AVAILABLE
66,Star Wars: Episode VI - Return of the Jedi,2026-06-07 22:00:00,IMAX Theatre,143,AVAILABLE
11,Ocean's Eleven,2026-06-08 11:00:00,IMAX Theatre,38,AVAILABLE
16,Toy Story,2026-06-08 11:30:00,Hall 1 (Dolby Atmos),60,AVAILABLE
136,Star Wars: Episode V - The Empire Strikes Back,2026-06-08 11:30:00,IMAX Theatre,127,AVAILABLE
41,Ocean's Eleven,2026-06-08 13:00:00,Hall 4 (VIP),66,AVAILABLE
84,E.T. the Extra-Terrestrial,2026-06-08 13:30:00,Hall 4 (VIP),45,AVAILABLE
115,Logan,2026-06-08 14:00:00,Hall 1 (Dolby Atmos),132,AVAILABLE
118,X-Men: Days of Future Past,2026-06-08 14:00:00,Hall 4 (VIP),87,AVAILABLE
46,Harry Potter and the Half-Blood Prince,2026-06-08 14:30:00,Hall 3,89,AVAILABLE
14,Thor: Ragnarok,2026-06-08 14:30:00,IMAX Theatre,21,AVAILABLE
76,Beauty and the Beast,2026-06-08 16:00:00,Hall 3,141,AVAILABLE
132,The Hangover,2026-06-08 16:00:00,IMAX Theatre,122,AVAILABLE
117,Joker,2026-06-08 17:00:00,Hall 2,113,AVAILABLE
19,The Hobbit: The Desolation of Smaug,2026-06-08 19:00:00,Hall 3,84,AVAILABLE
1,Star Trek Into Darkness,2026-06-08 19:30:00,IMAX Theatre,72,AVAILABLE
95,Harry Potter and the Prisoner of Azkaban,2026-06-08 20:00:00,Hall 1 (Dolby Atmos),122,AVAILABLE
88,Gladiator,2026-06-08 20:30:00,Hall 3,55,AVAILABLE
9,The Lion King,2026-06-09 11:00:00,IMAX Theatre,54,AVAILABLE
138,How to Train Your Dragon,2026-06-09 13:00:00,Hall 1 (Dolby Atmos),137,AVAILABLE
127,The Lord of the Rings: The Two Towers,2026-06-09 14:00:00,Hall 3,105,AVAILABLE
15,Saving Private Ryan,2026-06-09 16:00:00,Hall 1 (Dolby Atmos),130,AVAILABLE
69,The Dark Knight Rises,2026-06-09 17:00:00,Hall 1 (Dolby Atmos),64,AVAILABLE
128,The Avengers,2026-06-09 17:30:00,Hall 2,88,AVAILABLE
45,The Lion King,2026-06-09 19:00:00,IMAX Theatre,23,AVAILABLE
23,Star Trek,2026-06-09 19:30:00,IMAX Theatre,26,AVAILABLE
57,Skyfall,2026-06-09 20:30:00,Hall 1 (Dolby Atmos),97,AVAILABLE
120,Dawn of the Planet of the Apes,2026-06-09 20:30:00,Hall 1 (Dolby Atmos),29,AVAILABLE
135,Back to the Future,2026-06-09 22:30:00,IMAX Theatre,25,AVAILABLE
