session_id,movie_id,screen_time,hall_name,available_seats
63,99,2026-06-06 13:00:00,Hall 2,86
78,59,2026-06-06 13:00:00,Hall 2,10
133,90,2026-06-06 13:30:00,Hall 2,90
82,59,2026-06-06 14:00:00,Hall 4 (VIP),144
55,15,2026-06-06 14:30:00,Hall 3,102
134,87,2026-06-06 16:00:00,IMAX Theatre,43
61,22,2026-06-06 19:00:00,Hall 3,5
114,83,2026-06-06 19:00:00,Hall 1 (Dolby Atmos),75
146,35,2026-06-06 19:00:00,Hall 1 (Dolby Atmos),9
8,78,2026-06-06 19:30:00,IMAX Theatre,2
140,14,2026-06-06 19:30:00,IMAX Theatre,70
94,37,2026-06-06 22:30:00,Hall 4 (VIP),54
71,5,2026-06-07 11:00:00,IMAX Theatre,147
35,42,2026-06-07 14:30:00,IMAX Theatre,28
106,81,2026-06-07 16:30:00,Hall 3,139
113,49,2026-06-07 17:00:00,Hall 2,94
59,73,2026-06-07 19:00:00,Hall 2,62
27,15,2026-06-07 19:30:00,Hall 1 (Dolby Atmos),33
39,64,2026-06-07 19:30:00,IMAX Theatre,77
66,34,2026-06-07 22:00:00,IMAX Theatre,143
11,99,2026-06-08 11:00:00,IMAX Theatre,38
16,90,2026-06-08 11:30:00,Hall 1 (Dolby Atmos),60
136,43,2026-06-08 11:30:00,IMAX Theatre,127
41,99,2026-06-08 13:00:00,Hall 4 (VIP),66
84,11,2026-06-08 13:30:00,Hall 4 (VIP),45
115,69,2026-06-08 14:00:00,Hall 1 (Dolby Atmos),132
118,63,2026-06-08 14:00:00,Hall 4 (VIP),87
46,38,2026-06-08 14:30:00,Hall 3,89
14,33,2026-06-08 14:30:00,IMAX Theatre,21
76,73,2026-06-08 16:00:00,Hall 3,141
132,47,2026-06-08 16:00:00,IMAX Theatre,122
117,25,2026-06-08 17:00:00,Hall 2,113
19,53,2026-06-08 19:00:00,Hall 3,84
1,66,2026-06-08 19:30:00,IMAX Theatre,72
95,58,2026-06-08 20:00:00,Hall 1 (Dolby Atmos),122
88,95,2026-06-08 20:30:00,Hall 3,55
9,13,2026-06-09 11:00:00,IMAX Theatre,54
138,74,2026-06-09 13:00:00,Hall 1 (Dolby Atmos),137
127,23,2026-06-09 14:00:00,Hall 3,105
15,76,2026-06-09 16:00:00,Hall 1 (Dolby Atmos),130
69,10,2026-06-09 17:00:00,Hall 1 (Dolby Atmos),64
128,6,2026-06-09 17:30:00,Hall 2,88
45,13,2026-06-09 19:00:00,IMAX Theatre,23
23,55,2026-06-09 19:30:00,IMAX Theatre,26
57,36,2026-06-09 20:30:00,Hall 1 (Dolby Atmos),97
120,83,2026-06-09 20:30:00,Hall 1 (Dolby Atmos),29
135,80,2026-06-09 22:30:00,IMAX Theatre,25
